rank,company,founded,employees,score,ceo,state,hq,industry
139,"Medford School District 549C, Medford, OR",1955,"1,001 - 5,000",78.98,Bret Dr. Champion,Oregon,Medford,Education
140,Broadcom,1991,"10,001 - 50,000",78.94,Hock E. Tan,California,San Jose,"Semiconductors, Electronics, Electrical Engineering"
141,Insight Global,2001,>1000,78.94,Bert Bean,Georgia,Atlanta,Business Services & Supplies
142,Assurant,1892,"10,001 - 50,000",78.91,Keith W. Demmings,New York,New York,Insurance
143,Leidos,1969,"10,001 - 50,000",78.81,Tom Bell,Virginia,Reston,IT Software & Services
144,Thermo Fisher Scientific,1983,"100,001 - 500,000",78.77,Marc N. Casper,Massachusetts,Waltham,Drugs & Biotechnology
145,Concentrix,1980,"50,001 - 100,000",78.75,Chris Caldwell,South Carolina,Greenville,Business Services & Supplies
146,Republic Services,1998,"10,001 - 50,000",78.74,Jon Vander Ark,Arizona,Phoenix,Utilities
147,Smithfield Foods,1936,"50,001 - 100,000",78.73,Shane Smith,Virginia,Smithfield,"Food, Soft Beverages, Alcohol & Tobacco"
148,Hilton,1919,"100,001 - 500,000",78.72,Christopher J. Nassetta,Virginia,McLean,Travel & Leisure
149,Home Depot,1978,"100,001 - 500,000",78.69,Ted Decker,Georgia,Atlanta,Retail and Wholesale
150,Mallinckrodt Pharmaceuticals,1867,"1,001 - 5,000",78.64,Sigurdur Olafsson,England,Staines-Upon-Thames,Drugs & Biotechnology
101,UnitedHealth Group,1977,"100,001 - 500,000",81.49,Andrew Witty,Minnesota,Minnetonka,Insurance
102,Akamai,1998,"1,001 - 5,000",81.43,Tom Leighton,Massachusetts,Cambridge,IT Software & Services
103,Aerotek,1983,"1,001 - 5,000",81.43,Tom Kelly,Maryland,Hanover,Business Services & Supplies
104,FedEx,1971,"500,001 - 1,000,000",81.41,Raj Subramaniam,Tennessee,Memphis,Transportation and Logistics
105,United States Government Publishing Office,1861,"1,001 - 5,000",81.31,Hugh Nathanial Halpern,District of Columbia,Washington,Government Services
106,Nordson,1954,"5,001 - 10,000",81.24,Sundaram Nagarajan,Ohio,Westlake,"Engineering, Manufacturing"
107,Northwell Health,1997,"50,001 - 100,000",81.24,Michael Dowling,New York,Great Neck,Healthcare & Social Services
108,Publix Super Markets,1930,"100,001 - 500,000",81.1,Kevin Murphy,Florida,Lakeland,Retail and Wholesale
109,"EBSCO Industries, Inc.",1984,"1,001 - 5,000",80.87,Tim Collins,Massachusetts,Ipswich,Business Services & Supplies
110,Morgan Stanley,1931,"50,001 - 100,000",80.86,Edward Pick,New York,New York,Banking and Financial Services
111,eBay,1995,"5,001 - 10,000",80.86,Jamie Iannone,California,San Jose,Retail and Wholesale
112,Akron Children's Hospital,1890,"5,001 - 10,000",80.81,Christopher Gessner,Ohio,Akron,Healthcare & Social Services
113,Verizon Communications,1983,"50,001 - 100,000",80.71,Hans Vestberg,New York,New York,"Telecommunications Services, Cable Supplier"
114,Huntington National Bank,1866,"10,001 - 50,000",80.61,Stephen D. Steinour,Ohio,Columbus,Banking and Financial Services
115,Sovah Health,1993,"1,001 - 5,000",80.48,Steve Heatherly,Virginia,Danville,Healthcare & Social Services
116,Oracle,1977,"50,001 - 100,000",80.4,Safra A. Catz,California,Redwood Shores,IT Software & Services
117,Wegmans Food Markets,1916,"50,001 - 100,000",80.38,Colleen Wegman,New York,Rochester,Retail and Wholesale
118,Ricoh USA,1936,"50,001 - 100,000",80.38,Carsten Bruhn,Pennsylvania,Malvern,"Semiconductors, Electronics, Electrical Engineering"
119,Marathon Oil,1889,"1,001 - 5,000",80.35,Lee Tillman,Texas,Houston,"Construction, Chemicals, Raw Materials"
120,Alaska Airlines,1932,"10,001 - 50,000",80.33,Ben Minicucci,Washington,SeaTac,Transportation and Logistics
121,Amazon.com,1994,>1000000,80.29,Andy Jassy,Washington,Seattle,Retail and Wholesale
122,Texas Instruments,1930,"10,001 - 50,000",80.24,Haviv Ilan,Texas,Dallas,"Semiconductors, Electronics, Electrical Engineering"
123,Movement Mortgage,2008,"1,001 - 5,000",80.15,Casey Crawford,South Carolina,Fort Mill,Banking and Financial Services
124,Uline,1980,"5,001 - 10,000",80.07,Dick Uline,Wisconsin,Pleasant Prairie,Packaged Goods
125,Emplify Health,2024,>10000,80.04,Scott Rathgaber,Wisconsin,Green Bay,Healthcare & Social Services
126,Johnson Controls,1885,"10,001 - 50,000",79.98,George Oliver,Wisconsin,Milwaukee,"Engineering, Manufacturing"
127,SpaceX,2002,>1000,79.88,Elon Musk,California,Hawthorne,Aerospace & Defense
128,American Family Insurance,1927,>10000,79.81,Bill Westrate,Wisconsin,Madison,Insurance
129,ACE Hardware,1924,>5000,79.67,John Venhuizen,Illinois,Oak Brook,Retail and Wholesale
130,The Aerospace Corporation,1960,>1000,79.65,Steven J. Isakowitz,California,El Segundo,Aerospace & Defense
131,PNC Financial Services,1845,"50,001 - 100,000",79.29,William S. Demchak,Pennsylvania,Pittsburgh,Banking and Financial Services
132,O'Reilly Auto Parts,1957,"50,001 - 100,000",79.2,Brad Beckham,Missouri,Springfield,Retail and Wholesale
133,Goldman Sachs,1869,"10,001 - 50,000",79.19,David M. Solomon,New York,New York,Banking and Financial Services
134,Polaris Inc.,1954,"5,001 - 10,000",79.16,Michael T. Speetzen,Minnesota,Medina,Automotive (Automotive and Suppliers)
135,AdventHealth,1973,"50,001 - 100,000",79.12,Terry Shaw,Florida,Altamonte Springs,Healthcare & Social Services
136,Nike,1964,"50,001 - 100,000",79.12,John Donahoe,Oregon,Beaverton,"Clothing, Shoes, Sports Equipment"
137,Under Armour,1996,>10000,79.1,Patrik Frisk,Maryland,Baltimore,"Clothing, Shoes, Sports Equipment"
138,Alcoa,1888,"501 - 1,000",79.05,William F. Oplinger,Pennsylvania,Pittsburgh,"Engineering, Manufacturing"
139,"Medford School District 549C, Medford, OR",1955,"1,001 - 5,000",78.98,Bret Dr. Champion,Oregon,Medford,Education
140,Broadcom,1991,"10,001 - 50,000",78.94,Hock E. Tan,California,San Jose,"Semiconductors, Electronics, Electrical Engineering"
141,Insight Global,2001,>1000,78.94,Bert Bean,Georgia,Atlanta,Business Services & Supplies
142,Assurant,1892,"10,001 - 50,000",78.91,Keith W. Demmings,New York,New York,Insurance
143,Leidos,1969,"10,001 - 50,000",78.81,Tom Bell,Virginia,Reston,IT Software & Services
144,Thermo Fisher Scientific,1983,"100,001 - 500,000",78.77,Marc N. Casper,Massachusetts,Waltham,Drugs & Biotechnology
145,Concentrix,1980,"50,001 - 100,000",78.75,Chris Caldwell,South Carolina,Greenville,Business Services & Supplies
146,Republic Services,1998,"10,001 - 50,000",78.74,Jon Vander Ark,Arizona,Phoenix,Utilities
147,Smithfield Foods,1936,"50,001 - 100,000",78.73,Shane Smith,Virginia,Smithfield,"Food, Soft Beverages, Alcohol & Tobacco"
148,Hilton,1919,"100,001 - 500,000",78.72,Christopher J. Nassetta,Virginia,McLean,Travel & Leisure
149,Home Depot,1978,"100,001 - 500,000",78.69,Ted Decker,Georgia,Atlanta,Retail and Wholesale
150,Mallinckrodt Pharmaceuticals,1867,"1,001 - 5,000",78.64,Sigurdur Olafsson,England,Staines-Upon-Thames,Drugs & Biotechnology
